WARNING: 2 finite variable bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.
WARNING: 2 finite constraint bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.

=======================================
          Commercial License
         Artelys Knitro 12.2.0
=======================================

Knitro presolve eliminated 0 variables and 1 constraint.

algorithm:               2
bar_feasible:            3
cg_maxit:               50
feastol_abs:             0.0001
maxit:                   200
opttol:                  0.0001
outlev:                  3
outmode:                 2
par_concurrent_evals:    0
Knitro changing bar_initpt from AUTO to 3.
Knitro changing bar_murule from AUTO to 1.
Knitro changing bar_penaltycons from AUTO to 2.
Knitro changing bar_penaltyrule from AUTO to 2.
Knitro changing bar_switchrule from AUTO to 0.
Knitro changing linesearch from AUTO to 1.
Knitro changing linsolver from AUTO to 4.
Knitro shifted start point to satisfy presolved bounds (12 variables).

Problem Characteristics                                 (   Presolved)
-----------------------
Objective goal:  Minimize
Objective type:  general
Number of variables:                               7603 (        7603)
    bounded below only:                               0 (           0)
    bounded above only:                               0 (           0)
    bounded below and above:                       7602 (        7602)
    fixed:                                            0 (           0)
    free:                                             1 (           1)
Number of constraints:                             6850 (        8297)
    linear equalities:                                0 (           0)
    quadratic equalities:                             0 (           0)
    gen. nonlinear equalities:                     5401 (        5401)
    linear one-sided inequalities:                    0 (           0)
    quadratic one-sided inequalities:                 0 (           0)
    gen. nonlinear one-sided inequalities:            1 (        2896)
    linear two-sided inequalities:                    0 (           0)
    quadratic two-sided inequalities:                 0 (           0)
    gen. nonlinear two-sided inequalities:         1448 (           0)
Number of nonzeros in Jacobian:                  243788 (      251027)
Number of nonzeros in Hessian:                        0 (           0)

  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
       0   -3.407097e-01   2.820e+04
       1   -3.406541e-01   1.410e+04   1.431e+06   8.814e+00        1
       2   -3.404517e-01   1.429e+04   1.529e+06   7.157e+00       34
       3   -3.399463e-01   1.461e+04   1.808e+06   9.999e+00       26
       4   -3.393092e-01   1.460e+04   1.948e+06   9.062e+00       18
       5   -3.380568e-01   1.493e+04   1.992e+06   1.197e+01       15
       6   -3.357361e-01   1.553e+04   2.150e+06   1.691e+01       11
       7   -3.332447e-01   1.591e+04   2.314e+06   1.229e+01        9
       8   -3.280939e-01   1.697e+04   2.027e+06   2.308e+01        7
       9   -3.255771e-01   1.700e+04   2.290e+06   8.897e+00        9
      10   -3.234277e-01   1.694e+04   2.287e+06   6.955e+00        9
      11   -3.195801e-01   1.756e+04   2.867e+06   1.846e+01        8
      12   -3.180124e-01   1.745e+04   1.968e+06   5.743e+00       50
      13   -3.169604e-01   1.731e+04   1.960e+06   4.057e+00       54
      14   -3.169590e-01   1.731e+04   1.982e+06   4.643e-03       23
      15   -3.169514e-01   1.728e+04   1.944e+06   3.873e-02        9
      16   -3.169434e-01   1.719e+04   1.971e+06   7.366e-02        8
      17   -3.169290e-01   1.718e+04   1.952e+06   5.511e-02        6
      18   -3.169150e-01   1.712e+04   1.993e+06   6.942e-02       11
      19   -3.168346e-01   1.652e+04   1.862e+06   5.308e-01        8
      20   -3.168314e-01   1.652e+04   1.858e+06   1.559e-02       36
      21   -3.168284e-01   1.650e+04   1.893e+06   1.656e-02        2
      22   -3.168073e-01   1.638e+04   1.898e+06   1.162e-01       10
      23   -3.166349e-01   1.636e+04   1.888e+06   6.185e-01        6
      24   -3.153600e-01   1.360e+04   3.225e+06   4.921e+00       13
      25   -3.116896e-01   1.375e+04   1.866e+06   1.113e+01       39
      26   -3.063258e-01   1.400e+04   2.734e+06   1.176e+01       50
      27   -3.020103e-01   1.398e+04   1.899e+06   7.221e+00       50
      28   -2.968077e-01   1.396e+04   2.943e+06   7.607e+00       45
      29   -2.913865e-01   1.395e+04   2.816e+06   7.544e+00       50
      30   -2.849498e-01   1.390e+04   2.336e+06   8.968e+00       50
      31   -2.795386e-01   1.384e+04   2.701e+06   7.591e+00       50
      32   -2.740919e-01   1.376e+04   2.731e+06   7.683e+00       31
      33   -2.709641e-01   1.367e+04   2.682e+06   4.587e+00       43
      34   -2.677260e-01   1.358e+04   2.443e+06   4.865e+00       43
      35   -2.653603e-01   1.350e+04   2.839e+06   3.632e+00       25
      36   -2.628303e-01   1.341e+04   3.162e+06   3.926e+00       34
      37   -2.605097e-01   1.332e+04   3.979e+06   3.586e+00       39
      38   -2.583917e-01   1.323e+04   4.423e+06   3.365e+00       50
