WARNING: 2 finite variable bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.
WARNING: 2 finite constraint bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.

=======================================
          Commercial License
         Artelys Knitro 12.2.0
=======================================

Knitro presolve eliminated 0 variables and 1 constraint.

algorithm:               2
bar_feasible:            3
cg_maxit:               50
feastol_abs:             0.0001
maxit:                   200
opttol:                  0.0001
outlev:                  3
outmode:                 2
par_concurrent_evals:    0
Knitro changing bar_initpt from AUTO to 3.
Knitro changing bar_murule from AUTO to 1.
Knitro changing bar_penaltycons from AUTO to 2.
Knitro changing bar_penaltyrule from AUTO to 2.
Knitro changing bar_switchrule from AUTO to 0.
Knitro changing linesearch from AUTO to 1.
Knitro changing linsolver from AUTO to 4.

Problem Characteristics                                 (   Presolved)
-----------------------
Objective goal:  Minimize
Objective type:  general
Number of variables:                               7603 (        7603)
    bounded below only:                               0 (           0)
    bounded above only:                               0 (           0)
    bounded below and above:                       7602 (        7602)
    fixed:                                            0 (           0)
    free:                                             1 (           1)
Number of constraints:                             6880 (        8357)
    linear equalities:                                0 (           0)
    quadratic equalities:                             0 (           0)
    gen. nonlinear equalities:                     5401 (        5401)
    linear one-sided inequalities:                    0 (           0)
    quadratic one-sided inequalities:                 0 (           0)
    gen. nonlinear one-sided inequalities:            1 (        2956)
    linear two-sided inequalities:                    0 (           0)
    quadratic two-sided inequalities:                 0 (           0)
    gen. nonlinear two-sided inequalities:         1478 (           0)
Number of nonzeros in Jacobian:                  243790 (      251031)
Number of nonzeros in Hessian:                        0 (           0)

  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
       0    9.048957e-01   9.049e-01
       1    6.177418e-01   7.797e+00   3.113e+05   1.021e+01        1
       2    5.911222e-01   8.984e+01   3.072e+05   7.620e+00       29
       3    5.857776e-01   7.391e+01   6.754e+05   7.171e+00       43
       4    5.939586e-01   1.184e+02   8.924e+05   1.226e+01       28
       5    6.160501e-01   1.624e+02   9.952e+05   2.485e+01        4
       6    6.917840e-01   4.627e+02   1.008e+06   3.823e+01        3
       7    6.917338e-01   4.552e+02   1.038e+06   5.447e+01        4
       8    6.525550e-01   1.813e+03   1.014e+06   6.606e+01        4
       9    6.411427e-01   1.011e+03   1.016e+06   3.127e+01        8
      10    5.999254e-01   1.179e+03   1.451e+06   3.082e+01       14
      11    5.994840e-01   5.790e+02   1.002e+06   1.068e+01       16
      12    5.966656e-01   5.784e+02   1.001e+06   1.521e+00       56
      13    6.129049e-01   3.236e+02   1.001e+06   2.174e+00        2
      14    6.086066e-01   3.234e+02   9.991e+05   1.527e+00        5
      15    6.099596e-01   1.369e+02   1.138e+06   1.018e+01        4
      16    6.103267e-01   1.377e+02   1.307e+06   4.092e+00       46
      17    6.786215e-01   5.200e+01   1.434e+06   8.786e+00        9
      18    7.375916e-01   5.247e+01   1.345e+06   4.627e+00       39
      19    7.927049e-01   4.917e+01   2.307e+06   4.029e+00       50
      20    8.216064e-01   4.907e+01   2.189e+06   1.859e+00       50
      21    8.462105e-01   4.789e+01   2.537e+06   1.555e+00       50
      22    8.577492e-01   4.799e+01   1.936e+06   2.572e+00       50
      23    9.332653e-01   2.619e+01   3.197e+06   4.864e+00       50
      24    9.603411e-01   2.619e+01   3.650e+06   1.248e+00       50
