
=======================================
          Commercial License
         Artelys Knitro 12.2.0
=======================================

Knitro presolve eliminated 0 variables and 0 constraints.

bar_feasible:            3
cg_maxit:               50
derivcheck_tol:          0.0001
feastol:                 0.0001
feastol_abs:             0.0001
initpenalty              1
maxit:                   100
opttol:                  0.0001
outlev:                  3
outmode:                 2
par_concurrent_evals:    0
Knitro changing algorithm from AUTO to 1.
Knitro changing bar_initpt from AUTO to 3.
Knitro changing bar_murule from AUTO to 4.
Knitro changing bar_penaltycons from AUTO to 2.
Knitro changing bar_penaltyrule from AUTO to 2.
Knitro changing bar_switchrule from AUTO to 0.
Knitro changing linesearch from AUTO to 1.
Knitro changing linsolver from AUTO to 5.

Problem Characteristics                                 (   Presolved)
-----------------------
Objective goal:  Minimize
Objective type:  general
Number of variables:                               7602 (        7602)
    bounded below only:                               0 (           0)
    bounded above only:                               0 (           0)
    bounded below and above:                       7602 (        7602)
    fixed:                                            0 (           0)
    free:                                             0 (           0)
Number of constraints:                             6848 (       13696)
    linear equalities:                                0 (           0)
    quadratic equalities:                             0 (           0)
    gen. nonlinear equalities:                        0 (           0)
    linear one-sided inequalities:                    0 (           0)
    quadratic one-sided inequalities:                 0 (           0)
    gen. nonlinear one-sided inequalities:            0 (       13696)
    linear two-sided inequalities:                    0 (           0)
    quadratic two-sided inequalities:                 0 (           0)
    gen. nonlinear two-sided inequalities:         6848 (           0)
Number of nonzeros in Jacobian:                  239440 (      478880)
Number of nonzeros in Hessian:                        0 (           0)

  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
       0    2.231367e+01   0.000e+00
Starting feasible mode...
       1    6.805487e+00   0.000e+00   3.577e+00   1.322e+00        0
       2    3.026629e+00   0.000e+00   2.164e+00   1.536e+00        0
       3    2.514835e+00   0.000e+00   1.963e+00   1.309e+00        0
       4    2.280179e+00   0.000e+00   2.070e+00   1.273e+00        0
       5    5.324105e+00   0.000e+00   6.121e+00   3.804e+00        0
       6    4.567658e+00   0.000e+00   6.209e+00   1.437e+00        0
       7    4.503608e+00   0.000e+00   1.136e+00   7.262e-01        2
       8    3.472599e+00   0.000e+00   8.930e+00   1.304e+00        0
       9    3.437778e+00   0.000e+00   7.332e-01   4.783e-01        3
      10    3.720477e+00   0.000e+00   6.489e-01   7.434e-01        3
      11    3.104325e+00   0.000e+00   2.059e+00   1.390e+00        0
      12    3.175935e+00   0.000e+00   7.495e-01   4.669e-01        2
      13    2.008311e+00   0.000e+00   1.278e+00   2.387e+00        0
      14    1.457923e+00   0.000e+00   1.697e+00   6.530e-01        0
      15    1.199120e+00   0.000e+00   3.240e-01   4.153e-02        3
      16    1.042391e+00   0.000e+00   3.293e-01   2.886e-02        4
      17    8.433191e-01   0.000e+00   4.498e-01   2.711e-01        0
      18    5.772942e-01   0.000e+00   5.195e-01   6.936e-01        0
      19    3.400334e-01   0.000e+00   3.274e-01   3.449e-01        0
      20    2.596677e-01   0.000e+00   2.672e-01   4.081e-02        0
      21    8.393434e-02   0.000e+00   2.880e-01   6.390e-01        0
      22    2.412489e-01   0.000e+00   2.409e-01   2.709e-01        0
      23    8.889054e-02   0.000e+00   1.380e-01   1.379e-01        0
      24    6.894634e-02   0.000e+00   1.302e-01   3.271e-02        0
      25    4.082660e-02   0.000e+00   9.176e-02   4.912e-02        0
      26    3.240790e-02   0.000e+00   5.799e-02   1.968e-02      119
      27    2.606243e-02   0.000e+00   4.467e-02   2.824e-02        0
      28    2.461325e-02   0.000e+00   6.439e-02   2.313e-01        0
      29    2.320291e-02   0.000e+00   7.430e-02   1.818e-01        0
      30    1.590652e-02   0.000e+00   5.560e-02   3.385e-02        0
      31    8.304709e-03   0.000e+00   3.931e-02   2.819e-02        0
      32    4.548276e-03   0.000e+00   2.187e-02   7.486e-02        0
      33    5.751700e-03   0.000e+00   2.861e-02   3.552e-02        0
      34    2.137870e-03   0.000e+00   4.255e-03   4.194e-02        0
      35    2.057506e-03   0.000e+00   5.838e-03   1.188e-02        0
      36    1.498976e-03   0.000e+00   3.678e-03   1.157e-02        0
      37    1.423113e-03   0.000e+00   1.296e-02   3.054e-02        0
      38    1.252578e-03   0.000e+00   1.169e-02   4.378e-02        0
      39    9.158362e-04   0.000e+00   1.033e-02   2.812e-02        0
